bio_id,name,chamber,party,twitter_accounts_json,birthday,gender
Y000033,Don Young,house,R,"[{""id"": ""37007274"", ""screen_name"": ""repdonyoung"", ""account_type"": ""office""}, {""id"": ""2559398984"", ""screen_name"": ""DonYoungAK"", ""account_type"": ""campaign""}]",1933-06-09,M
B001289,Bradley Byrne,house,R,"[{""id"": ""42481696"", ""screen_name"": ""BradleyByrne"", ""account_type"": ""campaign""}, {""id"": ""2253968388"", ""screen_name"": ""RepByrne"", ""account_type"": ""office""}]",1955-02-16,M
M001212,Felix Moore,house,R,"[{""id"": ""74054398"", ""screen_name"": ""BarryMoore"", ""account_type"": ""campaign""}, {""screen_name"": ""RepBarryMoore"", ""id"": ""1339006078688825344"", ""account_type"": ""office""}]",1966-09-26,M
P000609,Gary Palmer,house,R,"[{""id"": ""2296943622"", ""screen_name"": ""Palmer4Alabama"", ""account_type"": ""campaign""}, {""id"": ""2861616083"", ""screen_name"": ""USRepGaryPalmer"", ""account_type"": ""office""}]",1954-05-14,M
C001054,Jerry Carl,house,R,"[{""id"": ""2237925464"", ""screen_name"": ""CarlForAlabama"", ""account_type"": ""campaign""}, {""screen_name"": ""RepJerryCarl"", ""id"": ""1341091420439015424"", ""account_type"": ""office""}]",1958-06-17,M
R000591,Martha Roby,house,R,"[{""id"": ""69086398"", ""screen_name"": ""TeamRoby"", ""account_type"": ""campaign""}, {""id"": ""224294785"", ""screen_name"": ""MarthaRobyAL"", ""account_type"": ""office"", ""prev_names"": [""RepMarthaRoby""]}]",1976-07-27,F
R000575,Mike Rogers,house,R,"[{""id"": ""33977070"", ""screen_name"": ""RepMikeRogersAL"", ""account_type"": ""office""}, {""id"": ""76069325"", ""screen_name"": ""MikeRogersCamp"", ""account_type"": ""campaign""}]",1958-07-16,M
B001274,Mo Brooks,house,R,"[{""account_type"": ""campaign"", ""screen_name"": ""Mobrooks"", ""id"": ""68277792"", ""prev_names"": [""MoInTheHouse"", ""MoBrooks_""]}, {""id"": ""237299871"", ""screen_name"": ""RepMoBrooks"", ""account_type"": ""office""}]",1954-04-29,M
A000055,Robert Aderholt,house,R,"[{""id"": ""76452765"", ""screen_name"": ""Robert_Aderholt"", ""account_type"": ""office""}, {""id"": ""804359648"", ""screen_name"": ""CongAderholt"", ""account_type"": ""campaign""}]",1965-07-22,M
S001185,Terri Sewell,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""Sewell4Congress"", ""id"": ""69326168""}, {""id"": ""381152398"", ""screen_name"": ""RepTerriSewell"", ""account_type"": ""office""}]",1965-01-01,F
W000821,Bruce Westerman,house,R,"[{""id"": ""342677019"", ""screen_name"": ""bruce_westerman"", ""account_type"": ""campaign""}, {""id"": ""1592481150"", ""screen_name"": ""WestermanAR"", ""account_type"": ""campaign""}, {""id"": ""2852998461"", ""screen_name"": ""RepWesterman"", ""account_type"": ""office""}]",1967-11-18,M
H001072,French Hill,house,R,"[{""id"": ""1740229652"", ""screen_name"": ""ElectFrench"", ""account_type"": ""campaign""}, {""id"": ""2953974395"", ""screen_name"": ""RepFrenchHill"", ""account_type"": ""office""}]",1956-12-05,M
C001087,Rick Crawford,house,R,"[{""id"": ""50918998"", ""screen_name"": ""Crawford4Cong"", ""account_type"": ""campaign""}, {""id"": ""233693291"", ""screen_name"": ""RepRickCrawford"", ""account_type"": ""office""}]",1966-01-22,M
W000809,Steve Womack,house,R,"[{""id"": ""112651673"", ""screen_name"": ""womack4congress"", ""account_type"": ""campaign""}, {""id"": ""234469322"", ""screen_name"": ""rep_stevewomack"", ""account_type"": ""office""}]",1957-02-18,M
R000600,Amata Coleman Radewagen,house,R,"[{""id"": ""3026622545"", ""screen_name"": ""RepAmata"", ""account_type"": ""office""}]",1947-12-29,F
B001302,Andy Biggs,house,R,"[{""id"": ""816652616625168388"", ""screen_name"": ""RepAndyBiggsAZ"", ""account_type"": ""office""}, {""id"": ""702601370344402944"", ""screen_name"": ""andybiggs4az"", ""account_type"": ""campaign""}]",1958-11-07,M
K000368,Ann Kirkpatrick,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""Ann_Kirkpatrick"", ""id"": ""272004287""}, {""account_type"": ""office"", ""screen_name"": ""RepKirkpatrick"", ""id"": ""1081240074946252801""}]",1950-03-24,F
S001183,David Schweikert,house,R,"[{""id"": ""21509894"", ""screen_name"": ""DavidSchweikert"", ""account_type"": ""campaign""}, {""id"": ""229197216"", ""screen_name"": ""RepDavid"", ""account_type"": ""office""}]",1962-03-03,M
L000589,Debbie Lesko,house,R,"[{""id"": ""34715823"", ""screen_name"": ""DebbieLesko"", ""account_type"": ""campaign""}, {""id"": ""996094929733652481"", ""screen_name"": ""RepDLesko"", ""account_type"": ""office""}]",1958-11-14,F
S001211,Greg Stanton,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""gregstantonaz"", ""id"": ""218292287""}, {""account_type"": ""office"", ""screen_name"": ""RepGregStanton"", ""id"": ""1080885078425784320""}]",1970-03-08,M
